"account_id","ip_drift","velocity_drift","foreign_pct_drift","spend_ratio_drift","drift_signals_positive","pre_crime_verdict"
"ACC0040778","15.28","0.50","50.00","0.96",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0015379","15.17","0.20","66.67","1.69",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0009448","14.85","0.28","37.78","1.12",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0002257","14.72","0.12","47.06","1.74",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0003572","14.40","0.58","41.67","4.27",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0032762","14.16","0.27","9.09","2.43",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0012927","14.11","0.20","13.33","0.50",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0014662","14.00","0.17","50.00","2.22",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0049122","13.81","0.29","14.29","2.92",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0008957","13.37","0.14","10.71","0.36",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0046094","13.36","1.00","25.00","0.31",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0046615","13.22","0.08","15.38","0.08",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0035113","13.18","0.10","26.19","5.34",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0037930","13.01","0.38","37.50","0.04",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0032926","12.86","0.10","30.56","3.09",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0024921","12.80","1.00","16.67","7.79",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0022470","12.67","0.33","28.57","0.17",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0005216","12.54","0.86","28.57","3.29",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0006355","12.33","0.23","28.89","0.44",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0037278","12.28","0.19","11.90","1.45",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0025354","12.24","0.10","40.48","0.72",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0035151","12.21","0.21","26.19","0.43",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0041698","12.18","0.93","26.19","1.38",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0018924","12.17","0.05","10.53","1.92",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0009656","12.12","0.27","5.13","0.72",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0024894","12.03","0.43","25.00","2.58",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0024954","11.94","0.33","20.83","0.76",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0019231","11.89","0.34","22.73","1.62",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0011725","11.76","1.29","42.86","4.09",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0013008","11.74","0.20","40.00","1.05",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0031106","11.54","0.55","16.36","0.29",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0026609","11.40","0.71","14.29","0.26",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0012731","11.39","0.02","11.90","0.64",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0032390","11.17","0.71","28.57","3.34",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0019526","11.16","0.44","22.22","0.31",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0035727","11.07","0.36","18.18","3.72",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0009645","11.06","0.26","3.68","1.57",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0008121","11.04","0.06","22.22","0.65",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0011537","11.04","0.05","42.86","1.80",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0006132","10.99","0.39","16.01","0.25",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0041903","10.91","0.13","34.55","0.61",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0047408","10.83","0.45","11.90","1.29",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0024762","10.82","0.14","11.90","2.19",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0020933","10.75","0.28","4.76","0.04",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0023389","10.64","0.70","10.00","4.97",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0001115","10.64","0.14","14.29","0.71",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0018707","10.42","0.11","33.33","3.27",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0029362","10.42","0.46","8.33","1.39",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0000169","10.36","0.32","19.78","0.10",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0000725","10.05","0.02","40.48","2.58",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0049759","9.93","0.57","26.19","1.25",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0037640","9.85","0.36","9.09","4.20",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0049634","9.83","0.77","3.16","1.30",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0047796","9.79","0.29","28.57","0.46",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0001941","9.71","0.27","6.67","2.54",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0046373","9.69","0.17","26.67","1.22",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0018350","9.64","0.60","40.00","0.53",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0000118","9.62","0.50","33.33","0.35",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0022727","9.56","0.74","26.19","0.73",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0041453","9.54","0.20","20.00","1.62",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0007067","9.52","0.33","16.67","0.53",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0010716","9.45","0.23","5.00","0.09",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0014209","9.39","0.73","10.00","1.00",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0000859","9.39","0.27","7.14","1.23",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0048589","9.38","0.33","17.78","0.04",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0006068","9.37","0.74","14.29","5.56",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0031485","9.33","0.10","10.00","1.22",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0010573","9.31","0.13","12.50","1.81",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0017763","9.30","0.22","10.54","2.45",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0010834","9.28","0.33","8.33","1.42",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0000291","9.28","0.45","18.18","0.12",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0010528","9.19","0.31","23.81","1.23",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0020846","9.01","0.09","18.18","0.61",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0038048","8.94","0.14","57.14","0.63",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0029415","8.93","0.17","16.67","0.02",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0021050","8.91","0.13","8.70","0.49",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0042742","8.81","0.37","10.53","2.45",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0047712","8.72","0.11","38.89","1.34",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0003994","8.67","0.05","42.86","3.70",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0044626","8.63","0.38","37.50","1.21",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0001750","8.58","0.07","14.29","2.96",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0036200","8.55","0.33","16.67","0.96",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0049522","8.43","0.09","8.93","0.75",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0034662","8.29","0.09","7.25","0.56",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0043830","8.08","0.10","45.45","1.18",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0032136","8.01","1.00","14.29","1.24",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0014550","8.00","0.31","23.81","0.02",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0037735","8.00","0.33","14.29","0.12",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0012349","7.96","0.23","23.08","2.55",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0000506","7.95","0.17","33.33","0.51",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0000064","7.90","0.38","34.62","1.65",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0029745","7.73","0.25","9.72","0.29",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0012888","7.70","0.19","43.75","0.95",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0047667","7.65","0.38","7.69","1.46",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0021546","7.57","1.23","13.33","0.18",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0021241","7.53","0.29","14.29","1.01",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0049539","7.50","0.43","16.67","1.09",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0007541","7.46","0.33","33.33","3.74",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0038443","7.44","0.14","14.29","3.45",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0002237","7.38","0.09","8.70","0.16",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0034641","7.35","0.73","9.09","0.43",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0005910","7.35","1.46","33.93","0.61",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0044631","7.24","0.07","9.52","4.07",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0046145","7.23","0.36","9.09","0.57",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0023068","7.21","0.48","42.86","1.57",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0032845","7.11","0.17","11.54","1.39",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0015093","7.08","0.63","25.00","1.45",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0025473","7.05","0.01","13.46","0.81",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0027747","7.04","0.26","28.57","0.47",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0040870","7.01","0.25","37.50","5.63",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0014203","7.01","0.31","14.29","3.41",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0021336","7.01","0.78","22.22","0.07",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0038541","6.95","0.18","18.18","0.50",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0019161","6.94","0.24","31.94","0.60",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0010737","6.91","0.70","10.00","0.58",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0001928","6.91","0.11","18.89","1.13",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0037177","6.87","0.73","27.27","0.17",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0049115","6.86","0.44","20.00","1.74",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0036151","6.82","0.60","20.00","2.70",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0036429","6.75","0.58","9.79","1.07",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0028515","6.64","0.14","26.19","0.18",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0006823","6.62","0.40","20.00","1.69",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0020296","6.54","0.29","28.57","1.28",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0024231","6.47","0.61","8.70","1.20",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0013793","6.45","0.58","26.92","0.16",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0004838","6.45","0.13","21.43","0.40",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0046439","6.40","0.32","17.78","0.03",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0037530","6.39","0.55","15.45","0.88",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0044898","6.21","0.38","6.25","0.51",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0033598","6.20","0.36","13.19","0.02",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0036918","6.19","1.00","28.57","6.66",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0015870","6.17","0.27","30.00","4.53",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0032432","6.16","0.66","10.71","2.09",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0006839","6.13","0.15","23.08","0.34",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0014553","6.09","0.11","22.22","0.64",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0001277","6.09","0.57","13.19","1.90",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0002139","6.07","1.33","33.33","0.75",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0044172","6.07","0.42","16.67","0.66",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0017132","6.06","0.09","12.50","1.38",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0011627","6.03","0.63","12.50","0.08",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0024501","6.02","0.20","10.00","0.52",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0025552","5.96","0.13","12.50","2.58",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0013693","5.95","1.00","37.50","0.53",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0024118","5.92","0.54","7.69","5.07",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0010036","5.90","0.40","20.00","1.03",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0021290","5.83","0.36","31.94","0.54",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0016214","5.81","0.66","25.00","1.05",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0046486","5.77","0.14","42.86","1.66",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0038658","5.76","0.09","32.61","0.44",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0036959","5.76","0.50","5.30","0.17",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0000260","5.70","0.81","40.48","2.68",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0017192","5.69","0.05","9.65","0.84",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0000699","5.69","0.01","13.19","2.52",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0013240","5.66","1.35","26.36","0.65",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0001558","5.64","1.27","30.00","6.24",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0033431","5.64","0.56","18.06","4.14",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0008377","5.59","0.77","13.64","0.47",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0019241","5.58","0.16","21.43","0.13",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0014952","5.57","0.09","18.18","0.62",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0015141","5.49","0.06","22.79","1.65",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0015392","5.49","0.11","37.78","2.63",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0034115","5.46","0.13","50.00","0.35",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0046252","5.45","0.36","8.23","0.54",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0030726","5.36","0.49","5.24","0.53",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0043826","5.32","0.40","27.27","4.27",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0029405","5.32","0.43","9.52","0.35",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0014223","5.31","0.81","9.52","1.30",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0026273","5.28","0.74","40.48","1.32",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0022359","5.28","0.13","25.00","2.44",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0031441","5.20","0.81","6.94","1.49",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0016139","5.17","0.40","10.00","0.34",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0006268","5.16","0.14","8.33","1.30",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0025632","5.15","0.50","12.50","1.14",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0010707","5.15","0.07","3.92","0.04",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0043227","5.14","0.22","11.11","0.43",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0022827","5.13","0.26","29.47","0.98",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0018767","5.10","0.27","45.45","0.35",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0045950","5.07","0.36","23.48","0.04",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0002221","5.06","0.18","18.18","4.33",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0041776","5.03","0.29","42.86","0.38",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0026698","4.94","0.39","27.78","14.38",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0033066","4.90","0.10","10.00","2.58",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0034144","4.89","0.31","11.90","1.19",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0018367","4.88","0.10","2.46","0.20",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0039062","4.83","0.39","3.33","1.53",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0023677","4.81","0.11","9.43","0.01",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0011834","4.77","0.49","5.45","2.74",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0022831","4.76","0.07","11.32","0.81",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0003992","4.71","0.08","8.33","0.48",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0034480","4.67","0.08","10.66","0.10",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0018595","4.64","0.71","28.57","2.20",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0042002","4.63","0.67","33.33","0.61",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0028079","4.59","0.74","4.40","2.53",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0042841","4.59","0.08","6.94","4.24",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0018431","4.52","0.50","16.67","0.04",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0012739","4.47","0.82","35.29","1.76",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0040189","4.47","0.43","14.29","0.05",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0032361","4.43","0.57","42.86","1.95",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0036413","4.41","1.00","42.86","0.87",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0040216","4.40","0.37","4.17","1.59",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0015808","4.36","0.75","25.00","2.96",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0020390","4.36","0.31","4.58","0.89",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0012140","4.36","0.25","23.21","0.91",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0049239","4.36","0.21","10.53","0.42",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0023402","4.35","0.45","18.18","0.72",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0040178","4.34","0.29","57.14","3.01",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0040711","4.33","0.19","12.50","0.78",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0032493","4.31","0.36","7.14","8.50",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0030496","4.26","0.27","26.67","1.41",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0024081","4.22","0.20","60.00","1.24",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0010114","4.16","0.14","20.83","1.04",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0014411","4.13","0.12","3.92","0.12",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0005914","4.08","0.44","11.11","0.88",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0046908","4.07","0.14","14.29","0.49",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0043730","4.06","1.00","14.29","1.73",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0045237","4.04","0.40","40.00","4.65",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0023695","3.96","1.00","42.86","0.61",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0049367","3.81","0.20","6.67","2.21",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0024632","3.81","0.52","37.50","1.83",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0010712","3.79","0.23","16.67","2.87",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0034462","3.74","0.20","20.00","1.26",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0048999","3.74","0.07","18.60","2.51",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0027072","3.72","0.34","15.63","0.72",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0033277","3.66","0.22","5.13","1.18",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0045576","3.66","0.56","11.11","0.24",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0014309","3.65","0.31","23.81","4.44",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0046401","3.63","0.98","9.52","0.07",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0026984","3.58","0.07","14.29","0.21",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0029650","3.58","0.14","34.62","0.96",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0048969","3.51","0.19","22.22","0.36",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0014517","3.48","0.08","8.33","0.23",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0024530","3.36","0.08","2.46","0.75",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0001442","3.33","0.50","16.67","0.07",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0026557","3.32","0.08","21.37","1.09",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0045975","3.30","0.87","4.25","0.06",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0005768","3.25","0.50","33.33","10.72",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0016906","3.25","0.43","28.57","0.18",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0005038","3.24","0.11","20.83","0.69",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0006364","3.21","0.08","8.33","1.67",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0030056","3.11","0.53","10.00","0.02",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0039176","3.08","0.25","25.00","2.55",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0025764","3.05","0.43","3.80","1.04",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0016222","3.04","0.45","17.92","0.32",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0023719","3.01","0.16","8.93","1.32",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0045224","2.99","0.13","37.50","3.29",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0022569","2.99","0.14","14.29","2.57",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0001337","2.98","0.20","8.00","0.17",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0017894","2.96","0.36","9.09","1.02",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0004754","2.93","0.08","15.38","0.19",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0038537","2.93","0.25","12.50","0.18",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0004317","2.92","0.07","26.19","0.85",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0030399","2.91","0.16","12.50","1.57",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0043903","2.90","0.70","15.15","0.83",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0004913","2.82","0.93","28.57","1.51",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0034321","2.80","0.61","23.21","0.74",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0015651","2.78","0.54","6.82","3.81",4,"🔴 Pre-crime drift detected — escalate for early review"
"ACC0042624","2.78","0.37","2.86","0.61",4,"🔴 Pre-crime drift detected — escalate for early review"
