"ring_id","seed_account","ring_detected_date","connected_accounts","first_infected_date","last_infected_date","first_replication_speed_days","quarantine_window_days","avg_days_to_spread","response_priority"
"RING0188","ACC0034092","2022-02-27","8","2022-06-18","2024-09-30","111.0","946.3","487.0","STANDARD - manual quarantine feasible"
"RING0111","ACC0023871","2022-10-23","8","2023-02-13","2024-08-25","112.7","671.7","286.5","STANDARD - manual quarantine feasible"
"RING0183","ACC0036401","2022-04-27","5","2022-08-19","2023-11-01","113.6","552.1","369.3","STANDARD - manual quarantine feasible"
"RING0033","ACC0045306","2022-01-18","6","2022-05-13","2024-04-05","115.2","808.0","408.0","STANDARD - manual quarantine feasible"
"RING0101","ACC0045745","2022-05-14","10","2022-09-12","2024-01-28","120.1","623.8","345.8","STANDARD - manual quarantine feasible"
"RING0088","ACC0037378","2022-03-10","10","2022-07-10","2024-11-14","121.1","979.6","403.7","STANDARD - manual quarantine feasible"
"RING0176","ACC0032904","2022-05-03","2","2022-09-03","2023-01-21","122.9","262.9","192.9","STANDARD - manual quarantine feasible"
"RING0037","ACC0021566","2022-02-02","9","2022-06-06","2024-05-28","124.0","846.2","524.5","STANDARD - manual quarantine feasible"
"RING0197","ACC0021689","2022-03-03","5","2022-07-06","2024-05-18","125.1","807.5","409.0","STANDARD - manual quarantine feasible"
"RING0150","ACC0012075","2022-11-11","6","2023-03-21","2024-12-17","130.0","767.1","413.2","STANDARD - manual quarantine feasible"
"RING0124","ACC0013107","2022-03-27","7","2022-08-04","2024-08-06","130.1","863.2","449.5","STANDARD - manual quarantine feasible"
"RING0135","ACC0010659","2022-12-21","3","2023-05-02","2024-09-22","132.1","640.7","445.5","STANDARD - manual quarantine feasible"
"RING0144","ACC0043639","2022-01-13","7","2022-05-28","2024-07-11","135.5","910.8","366.8","STANDARD - manual quarantine feasible"
"RING0011","ACC0006053","2022-02-11","6","2022-06-28","2024-09-10","136.9","942.1","516.5","STANDARD - manual quarantine feasible"
"RING0177","ACC0031033","2022-04-05","7","2022-08-23","2024-07-14","140.9","831.1","477.9","STANDARD - manual quarantine feasible"
"RING0196","ACC0037801","2022-03-15","9","2022-08-04","2024-07-08","141.6","845.8","415.4","STANDARD - manual quarantine feasible"
"RING0093","ACC0005752","2022-05-20","9","2022-10-11","2024-12-19","144.0","944.7","525.5","STANDARD - manual quarantine feasible"
"RING0025","ACC0030475","2022-03-15","8","2022-08-07","2024-09-28","145.3","927.9","526.9","STANDARD - manual quarantine feasible"
"RING0153","ACC0015580","2022-06-13","2","2022-11-11","2024-01-11","150.8","577.1","363.9","STANDARD - manual quarantine feasible"
"RING0120","ACC0042630","2022-02-07","5","2022-07-07","2024-04-26","150.8","809.7","409.0","STANDARD - manual quarantine feasible"
"RING0095","ACC0006703","2022-01-27","3","2022-07-01","2024-05-08","155.4","832.0","401.4","STANDARD - manual quarantine feasible"
"RING0028","ACC0007748","2022-06-12","2","2022-11-15","2022-12-09","155.4","179.5","167.4","STANDARD - manual quarantine feasible"
"RING0014","ACC0047548","2022-01-16","2","2022-06-24","2024-10-03","159.4","991.0","575.2","STANDARD - manual quarantine feasible"
"RING0062","ACC0042719","2022-10-18","3","2023-03-31","2024-08-10","164.8","662.4","356.7","STANDARD - manual quarantine feasible"
"RING0065","ACC0026327","2022-06-07","3","2022-11-20","2024-02-26","165.9","628.9","329.8","STANDARD - manual quarantine feasible"
"RING0071","ACC0015119","2023-07-10","3","2023-12-27","2024-07-09","170.1","365.0","281.6","STANDARD - manual quarantine feasible"
"RING0077","ACC0006703","2022-01-27","8","2022-07-17","2024-12-06","171.0","1044.5","576.2","STANDARD - manual quarantine feasible"
"RING0041","ACC0004040","2023-01-21","2","2023-07-18","2023-12-05","177.9","318.0","248.0","STANDARD - manual quarantine feasible"
"RING0090","ACC0026387","2022-06-23","7","2022-12-21","2024-12-01","180.3","891.4","504.8","STANDARD - manual quarantine feasible"
"RING0151","ACC0030686","2022-01-19","2","2022-07-23","2023-08-25","185.5","583.4","384.4","STANDARD - manual quarantine feasible"
"RING0083","ACC0007654","2022-05-01","6","2022-11-10","2024-05-03","192.7","732.9","377.4","STANDARD - manual quarantine feasible"
"RING0137","ACC0038758","2022-01-02","4","2022-07-16","2024-07-19","195.6","929.0","605.1","STANDARD - manual quarantine feasible"
"RING0180","ACC0016842","2022-03-26","4","2022-10-08","2024-01-25","195.9","670.5","341.0","STANDARD - manual quarantine feasible"
"RING0103","ACC0049628","2022-08-16","5","2023-03-05","2024-05-15","200.9","637.5","485.4","STANDARD - manual quarantine feasible"
"RING0108","ACC0004586","2022-03-06","6","2022-10-01","2024-12-05","209.1","1005.1","614.3","STANDARD - manual quarantine feasible"
"RING0024","ACC0016557","2022-12-06","4","2023-07-05","2024-09-22","211.2","655.8","418.1","STANDARD - manual quarantine feasible"
"RING0194","ACC0035594","2022-02-27","4","2022-10-03","2023-11-23","218.2","634.5","425.1","STANDARD - manual quarantine feasible"
"RING0021","ACC0045789","2022-05-04","2","2022-12-08","2024-02-16","218.4","653.2","435.8","STANDARD - manual quarantine feasible"
"RING0123","ACC0027146","2022-07-02","4","2023-02-06","2024-11-23","218.8","875.0","564.2","STANDARD - manual quarantine feasible"
"RING0195","ACC0040057","2022-06-30","4","2023-02-11","2024-09-20","226.1","813.4","505.0","STANDARD - manual quarantine feasible"
"RING0138","ACC0023984","2022-04-28","10","2022-12-11","2024-07-24","227.5","818.0","577.0","STANDARD - manual quarantine feasible"
"RING0027","ACC0032307","2022-03-20","4","2022-11-05","2023-12-09","229.1","628.2","500.4","STANDARD - manual quarantine feasible"
"RING0070","ACC0014590","2022-09-29","2","2023-05-17","2023-08-02","230.2","307.2","268.7","STANDARD - manual quarantine feasible"
"RING0182","ACC0010034","2022-06-20","10","2023-02-07","2024-08-17","232.7","789.5","503.2","STANDARD - manual quarantine feasible"
"RING0018","ACC0010643","2022-01-20","5","2022-09-11","2024-03-10","234.0","779.1","454.9","STANDARD - manual quarantine feasible"
"RING0091","ACC0031694","2022-11-20","5","2023-07-21","2024-11-27","242.6","737.8","556.5","STANDARD - manual quarantine feasible"
"RING0053","ACC0026067","2022-06-25","4","2023-03-01","2024-08-13","249.9","780.2","437.3","STANDARD - manual quarantine feasible"
"RING0161","ACC0030313","2022-04-14","3","2022-12-22","2023-06-03","252.0","415.3","326.0","STANDARD - manual quarantine feasible"
"RING0191","ACC0041264","2022-01-10","7","2022-09-20","2024-11-04","252.6","1028.7","491.2","STANDARD - manual quarantine feasible"
"RING0003","ACC0034795","2022-04-02","3","2022-12-14","2024-06-13","256.0","803.9","480.2","STANDARD - manual quarantine feasible"
"RING0169","ACC0033543","2022-06-02","3","2023-02-18","2024-03-21","261.2","658.0","415.7","STANDARD - manual quarantine feasible"
"RING0049","ACC0032132","2022-05-17","5","2023-02-03","2024-12-12","262.2","940.5","625.7","STANDARD - manual quarantine feasible"
"RING0058","ACC0001665","2022-01-15","9","2022-10-05","2024-11-14","263.1","1034.8","612.6","STANDARD - manual quarantine feasible"
"RING0081","ACC0010644","2022-04-21","3","2023-01-12","2024-02-07","265.4","656.7","442.2","STANDARD - manual quarantine feasible"
"RING0085","ACC0044628","2022-02-01","3","2022-10-28","2024-04-28","268.6","817.0","455.7","STANDARD - manual quarantine feasible"
"RING0192","ACC0004096","2022-01-11","4","2022-10-10","2023-11-07","271.4","664.4","483.4","STANDARD - manual quarantine feasible"
"RING0079","ACC0016528","2022-06-06","5","2023-03-05","2024-04-19","272.2","682.7","496.5","STANDARD - manual quarantine feasible"
"RING0099","ACC0002326","2022-01-20","3","2022-10-26","2024-04-16","279.1","817.9","500.9","STANDARD - manual quarantine feasible"
"RING0039","ACC0019634","2022-08-31","2","2023-06-07","2024-06-03","280.5","642.4","461.4","STANDARD - manual quarantine feasible"
"RING0061","ACC0006597","2022-11-11","2","2023-08-23","2023-10-05","284.4","327.4","305.9","STANDARD - manual quarantine feasible"
"RING0104","ACC0007574","2022-01-06","7","2022-10-19","2024-07-02","286.2","908.0","554.1","STANDARD - manual quarantine feasible"
"RING0131","ACC0002584","2022-01-24","6","2022-11-08","2024-04-02","288.9","799.1","565.8","STANDARD - manual quarantine feasible"
"RING0076","ACC0013939","2022-04-23","5","2023-02-25","2024-11-19","307.2","940.5","632.2","STANDARD - manual quarantine feasible"
"RING0022","ACC0041771","2022-02-04","3","2022-12-16","2024-09-18","314.8","956.4","597.8","STANDARD - manual quarantine feasible"
"RING0009","ACC0007697","2022-08-12","3","2023-06-26","2024-07-04","318.7","692.6","455.2","STANDARD - manual quarantine feasible"
"RING0013","ACC0041547","2022-02-01","4","2022-12-18","2024-05-24","320.2","843.0","641.6","STANDARD - manual quarantine feasible"
"RING0167","ACC0003545","2022-01-31","5","2022-12-24","2024-08-30","327.0","941.9","635.3","STANDARD - manual quarantine feasible"
"RING0068","ACC0039210","2022-09-17","3","2023-08-25","2024-12-11","342.4","816.8","596.6","STANDARD - manual quarantine feasible"
"RING0142","ACC0015418","2022-03-18","5","2023-02-25","2024-08-02","344.0","867.7","596.4","STANDARD - manual quarantine feasible"
"RING0060","ACC0048927","2022-06-20","3","2023-05-31","2024-06-04","344.4","714.6","516.1","STANDARD - manual quarantine feasible"
"RING0007","ACC0003718","2022-04-16","9","2023-03-30","2024-07-13","347.7","818.8","581.9","STANDARD - manual quarantine feasible"
"RING0118","ACC0015418","2022-03-18","2","2023-06-03","2024-07-05","441.8","840.3","641.1","STANDARD - manual quarantine feasible"
"RING0035","ACC0022572","2023-05-04","2","2024-08-01","2024-09-01","455.5","486.9","471.2","STANDARD - manual quarantine feasible"
"RING0109","ACC0045307","2022-12-06","2","2024-04-05","2024-09-11","486.5","644.8","565.6","STANDARD - manual quarantine feasible"
"RING0054","ACC0017741","2022-01-03","2","2023-05-07","2023-05-12","489.0","494.3","491.6","STANDARD - manual quarantine feasible"
"RING0117","ACC0039644","2022-02-06","2","2023-07-23","2024-01-31","532.5","723.6","628.1","STANDARD - manual quarantine feasible"
"RING0092","ACC0007318","2022-04-17","7","2023-10-16","2024-09-28","546.1","894.1","726.3","STANDARD - manual quarantine feasible"
"RING0080","ACC0047610","2022-05-15","4","2023-12-10","2024-02-08","573.3","633.7","597.2","STANDARD - manual quarantine feasible"
"RING0031","ACC0042329","2022-02-11","4","2023-09-17","2024-11-14","582.7","1006.1","750.9","STANDARD - manual quarantine feasible"
"RING0086","ACC0022399","2022-02-26","3","2023-10-06","2024-07-04","586.6","858.4","697.0","STANDARD - manual quarantine feasible"
"RING0100","ACC0002014","2022-04-12","2","2023-12-31","2024-05-26","627.3","774.4","700.8","STANDARD - manual quarantine feasible"
"RING0110","ACC0029908","2022-04-28","2","2024-02-19","2024-08-27","662.0","852.0","757.0","STANDARD - manual quarantine feasible"
