"ring_id","seed_account","ring_detected_date","downstream_accounts_activated","downstream_fraud_txns","preventable_loss_usd","loss_within_5day_response_window","loss_after_response_window_missed"
"RING0042","ACC0010691","2022-01-10","6","8","9378.26","0.00","9378.26"
"RING0072","ACC0014725","2022-03-24","10","15","8952.55","0.00","8952.55"
"RING0171","ACC0042039","2022-07-25","8","10","8912.51","0.00","8912.51"
"RING0054","ACC0017741","2022-01-03","2","2","8813.57","0.00","8813.57"
"RING0132","ACC0038433","2022-07-09","6","9","8704.34","0.00","8704.34"
"RING0097","ACC0034806","2022-08-27","9","12","8692.95","0.00","8692.95"
"RING0179","ACC0002894","2022-01-15","10","13","8487.97","0.00","8487.97"
"RING0008","ACC0033247","2022-04-30","6","7","8405.00","0.00","8405.00"
"RING0004","ACC0005277","2022-02-02","9","10","8363.95","0.00","8363.95"
"RING0165","ACC0043293","2022-02-03","10","15","8279.18","0.00","8279.18"
"RING0012","ACC0040787","2022-01-18","9","11","8250.60","0.00","8250.60"
"RING0059","ACC0042100","2022-09-24","7","7","7952.75","0.00","7952.75"
"RING0092","ACC0007318","2022-04-17","7","8","7781.68","0.00","7781.68"
"RING0041","ACC0004040","2023-01-21","2","3","7753.67","0.00","7753.67"
"RING0122","ACC0047345","2022-05-08","7","7","7732.17","0.00","7732.17"
"RING0067","ACC0046497","2022-06-12","4","5","7684.22","0.00","7684.22"
"RING0051","ACC0004586","2022-03-06","4","5","7663.06","0.00","7663.06"
"RING0020","ACC0031234","2022-02-01","8","11","7653.79","0.00","7653.79"
"RING0082","ACC0014316","2022-03-06","5","10","7610.18","0.00","7610.18"
"RING0164","ACC0011514","2022-03-17","10","11","7587.16","0.00","7587.16"
"RING0188","ACC0034092","2022-02-27","8","8","7566.15","0.00","7566.15"
"RING0148","ACC0004443","2022-01-17","10","12","7557.75","0.00","7557.75"
"RING0018","ACC0010643","2022-01-20","5","5","7427.55","0.00","7427.55"
"RING0053","ACC0026067","2022-06-25","4","4","7410.50","0.00","7410.50"
"RING0101","ACC0045745","2022-05-14","10","12","7337.68","0.00","7337.68"
"RING0194","ACC0035594","2022-02-27","4","7","7266.84","0.00","7266.84"
"RING0184","ACC0000440","2022-08-26","9","12","7243.05","0.00","7243.05"
"RING0037","ACC0021566","2022-02-02","9","10","6874.97","0.00","6874.97"
"RING0124","ACC0013107","2022-03-27","7","8","6701.72","0.00","6701.72"
"RING0150","ACC0012075","2022-11-11","6","7","6629.00","0.00","6629.00"
"RING0137","ACC0038758","2022-01-02","4","7","6625.20","0.00","6625.20"
"RING0005","ACC0003464","2022-03-31","8","8","6617.22","0.00","6617.22"
"RING0010","ACC0047702","2022-02-27","5","10","6570.73","0.00","6570.73"
"RING0178","ACC0039513","2022-02-09","7","8","6527.33","0.00","6527.33"
"RING0105","ACC0047842","2022-01-05","7","9","6516.99","0.00","6516.99"
"RING0136","ACC0002858","2022-06-12","5","9","6493.77","0.00","6493.77"
"RING0174","ACC0001094","2022-01-07","7","8","6395.27","0.00","6395.27"
"RING0141","ACC0004617","2022-04-04","8","9","6288.90","0.00","6288.90"
"RING0161","ACC0030313","2022-04-14","3","7","6285.16","0.00","6285.16"
"RING0166","ACC0028443","2022-09-05","6","7","6172.19","1434.92","4737.27"
"RING0147","ACC0012964","2022-05-29","8","8","5956.27","0.00","5956.27"
"RING0187","ACC0041359","2022-03-22","6","7","5939.20","0.00","5939.20"
"RING0200","ACC0034673","2022-01-28","10","15","5859.27","0.00","5859.27"
"RING0093","ACC0005752","2022-05-20","9","10","5764.76","0.00","5764.76"
"RING0173","ACC0019927","2022-01-28","8","10","5737.77","0.00","5737.77"
"RING0157","ACC0008160","2022-07-28","2","2","5730.45","0.00","5730.45"
"RING0115","ACC0016021","2022-06-16","7","7","5719.94","0.00","5719.94"
"RING0116","ACC0009678","2022-05-16","2","3","5681.83","0.00","5681.83"
"RING0177","ACC0031033","2022-04-05","7","8","5658.46","0.00","5658.46"
"RING0193","ACC0037194","2022-08-04","8","10","5365.80","0.00","5365.80"
"RING0011","ACC0006053","2022-02-11","6","9","5342.73","0.00","5342.73"
"RING0001","ACC0022213","2022-05-26","5","7","5313.35","0.00","5313.35"
"RING0198","ACC0005653","2022-06-19","8","9","5196.73","0.00","5196.73"
"RING0063","ACC0023787","2022-11-22","3","4","5017.56","0.00","5017.56"
"RING0029","ACC0026177","2022-01-27","5","6","5012.09","0.00","5012.09"
"RING0119","ACC0003720","2022-04-16","6","9","4976.63","0.00","4976.63"
"RING0015","ACC0025275","2022-04-22","9","10","4957.91","0.00","4957.91"
"RING0146","ACC0048839","2022-01-26","8","12","4771.53","0.00","4771.53"
"RING0047","ACC0020901","2022-02-19","8","10","4755.56","0.00","4755.56"
"RING0196","ACC0037801","2022-03-15","9","9","4742.15","0.00","4742.15"
"RING0155","ACC0028527","2022-04-01","6","8","4705.07","0.00","4705.07"
"RING0069","ACC0013570","2022-10-08","10","10","4634.34","0.00","4634.34"
"RING0096","ACC0000542","2022-01-18","7","9","4632.22","0.00","4632.22"
"RING0142","ACC0015418","2022-03-18","5","6","4611.42","0.00","4611.42"
"RING0019","ACC0027204","2022-04-18","4","6","4506.16","0.00","4506.16"
"RING0098","ACC0046497","2022-06-12","9","13","4471.63","0.00","4471.63"
"RING0104","ACC0007574","2022-01-06","7","7","4375.68","0.00","4375.68"
"RING0108","ACC0004586","2022-03-06","6","7","4314.34","0.00","4314.34"
"RING0043","ACC0014775","2022-01-25","6","9","4267.81","0.00","4267.81"
"RING0073","ACC0026562","2022-07-29","9","9","4250.86","0.00","4250.86"
"RING0078","ACC0009049","2022-09-28","6","6","4192.30","0.00","4192.30"
"RING0138","ACC0023984","2022-04-28","10","13","4119.82","0.00","4119.82"
"RING0169","ACC0033543","2022-06-02","3","6","3969.46","0.00","3969.46"
"RING0016","ACC0029626","2022-01-02","5","6","3906.09","0.00","3906.09"
"RING0189","ACC0045322","2022-06-15","3","4","3873.82","0.00","3873.82"
"RING0111","ACC0023871","2022-10-23","8","8","3829.12","0.00","3829.12"
"RING0055","ACC0013492","2022-04-23","7","8","3800.67","0.00","3800.67"
"RING0075","ACC0034268","2022-02-21","6","9","3758.47","0.00","3758.47"
"RING0052","ACC0005709","2022-05-08","3","4","3717.47","0.00","3717.47"
"RING0152","ACC0002894","2022-01-15","6","11","3690.73","0.00","3690.73"
"RING0134","ACC0034541","2022-06-07","6","9","3681.05","0.00","3681.05"
"RING0077","ACC0006703","2022-01-27","8","9","3646.14","0.00","3646.14"
"RING0031","ACC0042329","2022-02-11","4","5","3645.90","0.00","3645.90"
"RING0176","ACC0032904","2022-05-03","2","2","3579.26","0.00","3579.26"
"RING0156","ACC0004262","2022-02-14","7","8","3557.15","0.00","3557.15"
"RING0044","ACC0045674","2022-05-19","5","7","3522.39","0.00","3522.39"
"RING0120","ACC0042630","2022-02-07","5","6","3474.70","0.00","3474.70"
"RING0033","ACC0045306","2022-01-18","6","6","3467.78","0.00","3467.78"
"RING0026","ACC0046921","2022-04-29","4","4","3447.03","0.00","3447.03"
"RING0007","ACC0003718","2022-04-16","9","10","3411.71","0.00","3411.71"
"RING0154","ACC0020159","2022-01-11","6","10","3293.11","0.00","3293.11"
"RING0021","ACC0045789","2022-05-04","2","2","3278.15","0.00","3278.15"
"RING0113","ACC0036399","2022-01-19","5","5","3075.29","0.00","3075.29"
"RING0172","ACC0034851","2023-03-30","3","5","3029.25","0.00","3029.25"
"RING0086","ACC0022399","2022-02-26","3","3","2999.56","0.00","2999.56"
"RING0170","ACC0034028","2022-08-25","5","5","2828.82","0.00","2828.82"
"RING0186","ACC0042545","2022-04-08","5","5","2785.48","0.00","2785.48"
"RING0127","ACC0049776","2022-01-05","5","5","2689.08","0.00","2689.08"
"RING0065","ACC0026327","2022-06-07","3","3","2644.01","0.00","2644.01"
"RING0085","ACC0044628","2022-02-01","3","4","2585.44","0.00","2585.44"
"RING0107","ACC0024809","2022-09-20","7","7","2566.74","0.00","2566.74"
"RING0102","ACC0005500","2022-03-21","4","5","2450.31","0.00","2450.31"
"RING0002","ACC0004443","2022-01-17","4","5","2301.74","0.00","2301.74"
"RING0195","ACC0040057","2022-06-30","4","5","2282.57","0.00","2282.57"
"RING0199","ACC0000136","2022-01-13","4","6","2216.13","0.00","2216.13"
"RING0038","ACC0047610","2022-05-15","3","5","2169.28","0.00","2169.28"
"RING0143","ACC0007734","2023-01-26","3","3","2148.36","0.00","2148.36"
"RING0045","ACC0039850","2022-12-26","6","6","2106.56","0.00","2106.56"
"RING0009","ACC0007697","2022-08-12","3","4","1974.53","0.00","1974.53"
"RING0017","ACC0016867","2022-11-18","5","7","1960.14","0.00","1960.14"
"RING0080","ACC0047610","2022-05-15","4","5","1954.46","0.00","1954.46"
"RING0076","ACC0013939","2022-04-23","5","5","1914.95","0.00","1914.95"
"RING0028","ACC0007748","2022-06-12","2","3","1881.44","0.00","1881.44"
"RING0027","ACC0032307","2022-03-20","4","5","1868.67","0.00","1868.67"
"RING0095","ACC0006703","2022-01-27","3","5","1865.39","0.00","1865.39"
"RING0079","ACC0016528","2022-06-06","5","6","1847.18","0.00","1847.18"
"RING0066","ACC0030732","2022-01-18","7","7","1808.53","0.00","1808.53"
"RING0197","ACC0021689","2022-03-03","5","6","1802.22","0.00","1802.22"
"RING0087","ACC0005078","2022-10-24","4","5","1755.42","0.00","1755.42"
"RING0129","ACC0031403","2022-06-24","6","6","1742.57","0.00","1742.57"
"RING0118","ACC0015418","2022-03-18","2","2","1660.06","0.00","1660.06"
"RING0081","ACC0010644","2022-04-21","3","3","1645.82","0.00","1645.82"
"RING0162","ACC0041085","2022-11-12","2","3","1615.47","0.00","1615.47"
"RING0159","ACC0021375","2022-06-30","3","5","1589.34","0.00","1589.34"
"RING0032","ACC0000224","2022-12-20","6","7","1527.30","0.00","1527.30"
"RING0039","ACC0019634","2022-08-31","2","2","1508.93","0.00","1508.93"
"RING0191","ACC0041264","2022-01-10","7","8","1499.40","0.00","1499.40"
"RING0131","ACC0002584","2022-01-24","6","7","1461.78","0.00","1461.78"
"RING0121","ACC0046086","2022-06-25","4","4","1446.42","0.00","1446.42"
"RING0099","ACC0002326","2022-01-20","3","4","1402.70","0.00","1402.70"
"RING0003","ACC0034795","2022-04-02","3","3","1386.92","0.00","1386.92"
"RING0128","ACC0035897","2023-01-12","3","4","1341.39","0.00","1341.39"
"RING0013","ACC0041547","2022-02-01","4","5","1318.09","0.00","1318.09"
"RING0089","ACC0037546","2022-01-17","5","6","1238.66","0.00","1238.66"
"RING0046","ACC0004097","2023-09-05","3","3","1228.22","0.00","1228.22"
"RING0153","ACC0015580","2022-06-13","2","2","1221.58","0.00","1221.58"
"RING0123","ACC0027146","2022-07-02","4","4","1219.10","0.00","1219.10"
"RING0049","ACC0032132","2022-05-17","5","5","1189.49","0.00","1189.49"
"RING0192","ACC0004096","2022-01-11","4","4","1150.60","0.00","1150.60"
"RING0083","ACC0007654","2022-05-01","6","7","1123.55","0.00","1123.55"
"RING0090","ACC0026387","2022-06-23","7","7","1104.48","0.00","1104.48"
"RING0100","ACC0002014","2022-04-12","2","2","1088.02","0.00","1088.02"
"RING0091","ACC0031694","2022-11-20","5","5","1068.11","0.00","1068.11"
"RING0062","ACC0042719","2022-10-18","3","3","1033.58","0.00","1033.58"
"RING0022","ACC0041771","2022-02-04","3","3","949.48","0.00","949.48"
"RING0135","ACC0010659","2022-12-21","3","3","944.87","0.00","944.87"
"RING0167","ACC0003545","2022-01-31","5","6","932.90","0.00","932.90"
"RING0109","ACC0045307","2022-12-06","2","2","927.16","0.00","927.16"
"RING0130","ACC0039067","2022-05-26","4","6","832.45","0.00","832.45"
"RING0071","ACC0015119","2023-07-10","3","4","810.45","0.00","810.45"
"RING0180","ACC0016842","2022-03-26","4","4","801.48","0.00","801.48"
"RING0175","ACC0005236","2022-07-14","2","3","739.67","0.00","739.67"
"RING0070","ACC0014590","2022-09-29","2","2","715.60","0.00","715.60"
"RING0035","ACC0022572","2023-05-04","2","2","713.67","0.00","713.67"
"RING0034","ACC0000058","2022-11-19","5","6","651.48","0.00","651.48"
"RING0133","ACC0009090","2022-01-05","5","6","649.46","0.00","649.46"
"RING0024","ACC0016557","2022-12-06","4","4","640.50","0.00","640.50"
"RING0151","ACC0030686","2022-01-19","2","3","622.33","0.00","622.33"
"RING0168","ACC0042153","2022-03-12","3","4","607.52","0.00","607.52"
"RING0006","ACC0025807","2022-11-02","2","3","590.07","0.00","590.07"
"RING0112","ACC0039269","2022-10-25","2","3","537.29","0.00","537.29"
"RING0048","ACC0031168","2022-06-22","5","5","476.85","0.00","476.85"
"RING0068","ACC0039210","2022-09-17","3","3","476.76","0.00","476.76"
"RING0139","ACC0034563","2022-12-17","2","2","414.88","0.00","414.88"
"RING0014","ACC0047548","2022-01-16","2","2","353.85","0.00","353.85"
"RING0125","ACC0010271","2022-01-22","4","4","318.32","0.00","318.32"
"RING0185","ACC0046270","2022-10-11","3","4","300.42","0.00","300.42"
"RING0061","ACC0006597","2022-11-11","2","2","226.51","0.00","226.51"
"RING0060","ACC0048927","2022-06-20","3","3","192.82","0.00","192.82"
"RING0094","ACC0033613","2022-02-26","3","3","174.50","0.00","174.50"
"RING0110","ACC0029908","2022-04-28","2","2","93.45","0.00","93.45"
